Player,Age,Pos,Team,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP Unadj,PlayerId,Fantasy Team,,
Brock Faber,23,D,MIN,"$8,500,000",21.07,2.27,2.20,79,79,21.07,2.27,2.20,25.54,9,31,40,2,12,14,0,1,1,40,125,23,0,24517872,132,-8,-18,175,229,4903844,8482122,,,
Luke Hughes,22,D,NJ,$1,19.02,1.88,0.30,74,74,19.02,1.88,0.30,21.21,8,32,40,1,12,13,0,0,0,20,63,19,0,3159412,123,-9,-275,326,-28,632113,8482684,,,
Anthony DeAngelo,30,D,NYI,"$1,750,000",18.91,2.88,0.38,70,70,18.91,2.88,0.38,22.17,8,32,40,3,13,16,0,0,0,32,82,29,0,3734454,137,-14,-77,211,170,747141,8477950,,,
Pius Suter,29,"C,LW",STL,"$4,125,000",13.38,1.39,2.00,77,77,13.38,1.39,2.00,16.77,20,19,39,3,4,7,1,0,1,55,38,15,287,21742239,119,7,-455,445,-111,4348758,8480459,,,
Filip Chytil,26,C,VAN,"$4,437,500",13.53,1.52,0.02,70,70,13.53,1.52,0.02,15.06,19,20,39,3,5,8,0,0,0,27,24,21,303,152716,159,0,-588,530,-76,30875,8480078,,,
Nicolas Roy,28,"C,RW",TOR,"$3,000,000",13.17,1.28,0.91,80,80,13.17,1.28,0.91,15.36,18,21,39,3,4,7,1,0,1,85,50,33,381,10253662,114,1,-257,316,76,2051060,8478462,,,
Zach Benson,20,LW,BUF,"$950,000",13.11,1.50,0.84,75,75,13.11,1.50,0.84,15.46,17,22,39,4,3,7,0,1,1,37,34,41,4,8938939,124,1,-328,360,16,1788007,8484145,,,
Ridly Greig,23,"C,RW",OTT,"$3,250,000",13.60,1.80,1.52,77,77,13.60,1.80,1.52,16.92,17,22,39,5,5,10,1,1,2,137,45,52,179,16499186,128,0,3,158,336,3300131,8482092,,,
Luke Evangelista,23,RW,NSH,$1,12.97,1.53,0.00,76,76,12.97,1.53,0.00,14.50,16,23,39,2,5,7,0,0,0,32,20,19,0,3,145,2,-469,458,-137,241,8482146,,,
Sean Couturier,33,C,PHI,"$7,750,000",14.89,1.55,0.63,74,74,14.89,1.55,0.63,17.07,14,25,39,2,3,5,0,1,1,52,42,29,586,6569471,143,4,-524,497,-12,1314285,8476461,,,
Bowen Byram,24,D,BUF,"$6,250,000",19.59,1.14,1.54,80,80,19.59,1.14,1.54,22.27,10,29,39,1,5,6,0,1,1,79,115,45,0,17375218,98,-5,4,157,251,3475268,8481524,,,
Kris Letang,38,D,PIT,"$6,100,000",19.62,1.92,2.05,73,73,19.62,1.92,2.05,23.60,9,30,39,2,9,11,0,1,1,113,109,41,0,21158338,145,-7,165,107,412,4231946,8471724,,,
John Klingberg,33,D,SJ,"$4,000,000",16.93,2.97,0.03,74,74,16.93,2.97,0.03,19.93,8,31,39,2,14,16,0,0,0,37,90,34,0,313609,123,-3,-48,190,199,62964,8475906,,,
Zack Bolduc,22,RW,MTL,"$863,334",11.92,1.29,0.00,75,75,11.92,1.29,0.00,13.22,19,19,38,5,5,10,0,0,0,94,38,25,5,8,125,3,-274,324,59,250,8482737,,,
Matt Savoie,22,"C,RW",EDM,"$886,666",14.00,1.50,0.00,74,74,14.00,1.50,0.00,15.50,17,21,38,3,5,8,0,0,0,37,35,23,47,52,149,9,-381,401,-48,275,8483512,,,
Kirby Dach,25,"C,RW",MTL,"$3,362,500",13.56,2.00,0.10,80,80,13.56,2.00,0.10,15.67,17,21,38,4,9,13,0,0,0,125,50,42,131,1155942,117,-14,-62,198,271,231458,8481523,,,
Joel Farabee,25,"LW,RW",CGY,"$5,000,000",13.43,1.60,0.40,80,80,13.43,1.60,0.40,15.44,17,21,38,1,3,4,0,0,0,85,49,28,18,4578375,141,-2,-289,334,43,915930,8480797,,,
Jake Walman,29,D,EDM,"$3,400,000",17.63,2.17,2.44,72,72,17.63,2.17,2.44,22.24,12,26,38,2,10,12,0,1,1,58,154,39,0,24846170,163,-5,219,85,466,4969538,8478013,,,
Sean Durzi,27,D,UTA,"$6,000,000",18.19,1.59,1.21,80,80,18.19,1.59,1.21,21.00,10,28,38,2,9,11,0,0,0,44,141,47,0,13713683,119,8,114,123,361,2742991,8480434,,,
Aaron Ekblad,29,D,FLA,"$6,100,000",18.17,2.20,2.52,70,70,18.17,2.20,2.52,22.89,8,30,38,3,11,14,0,1,1,100,83,58,0,24929153,139,9,197,90,444,4986090,8477932,,,
Sam Rinzel,21,D,CHI,"$941,667",18.75,2.50,1.00,76,76,18.75,2.50,1.00,22.25,7,31,38,2,10,12,0,0,0,108,88,41,0,10745774,161,-12,128,120,375,2149433,8483506,,,
Justin Faulk,33,D,STL,"$6,500,000",19.08,1.99,1.36,76,76,19.08,1.99,1.36,22.43,7,31,38,2,9,11,0,0,0,79,115,31,0,14550093,131,-3,17,149,264,2910281,8475753,,,
Eeli Tolvanen,26,"LW,RW",SEA,"$3,475,000",13.06,1.10,0.40,80,80,13.06,1.10,0.40,14.56,21,16,37,3,3,6,0,0,0,212,69,21,6,4572543,133,-3,-45,187,287,914801,8480009,,,
Will Cuylle,23,"LW,RW",NYR,"$3,900,000",13.26,0.75,0.79,81,81,13.26,0.75,0.79,14.80,19,18,37,2,2,4,1,0,1,291,44,42,7,9040283,147,-2,159,108,492,1808357,8482157,,,
Jeff Skinner,33,LW,SJ,"$3,000,000",11.87,1.35,0.01,74,74,11.87,1.35,0.01,13.23,18,19,37,2,3,5,0,0,0,39,19,18,35,115757,144,5,-514,487,-170,23398,8475784,,,
Isaac Howard,21,LW,EDM,"$950,000",13.25,1.00,0.00,75,75,13.25,1.00,0.00,14.25,17,20,37,2,3,5,0,0,0,53,39,27,0,0,162,7,-348,377,-4,262,8483455,,,
Josh Doan,23,RW,BUF,"$925,000",12.40,1.52,0.05,76,76,12.40,1.52,0.05,13.97,16,21,37,5,4,9,0,0,0,69,23,13,54,537306,141,2,-435,430,-102,107724,8482659,,,
Maxim Tsyplakov,27,"LW,RW",NYI,"$2,250,000",13.44,1.54,0.01,78,78,13.44,1.54,0.01,14.98,14,23,37,2,3,5,0,0,0,138,41,33,10,110317,123,4,-222,291,110,22307,8484958,,,
Max Domi,30,"C,LW",TOR,"$3,750,000",12.95,1.22,0.01,78,78,12.95,1.22,0.01,14.17,11,26,37,2,4,6,0,0,0,36,28,71,279,96378,105,2,-232,303,113,19518,8477503,,,
Travis Sanheim,29,D,PHI,"$6,250,000",21.30,0.79,2.30,82,82,21.30,0.79,2.30,24.40,10,27,37,1,3,4,1,1,2,79,161,38,0,26668407,138,5,113,124,360,5333963,8477948,,,
Zeev Buium,20,D,MIN,"$966,500",17.00,2.75,0.00,78,78,17.00,2.75,0.00,19.75,8,29,37,2,11,13,0,0,0,63,91,40,0,0,130,5,0,159,247,249,8484798,,,
Brent Burns,40,D,COL,"$1,000,000",16.89,1.00,2.29,82,82,16.89,1.00,2.29,20.18,8,29,37,1,6,7,0,1,1,17,90,26,0,26485813,165,8,-182,264,65,5297433,8470613,,,
Mike Matheson,31,D,MTL,"$4,875,000",19.61,1.20,3.18,78,78,19.61,1.20,3.18,23.98,8,29,37,1,6,7,0,1,1,55,154,44,0,35030922,136,-14,118,121,365,7006444,8476875,,,
Neal Pionk,30,D,WPG,"$7,000,000",18.77,1.43,1.68,80,80,18.77,1.43,1.68,21.88,8,29,37,2,7,9,0,1,1,137,118,46,0,19001144,144,1,218,86,465,3800510,8480145,,,
Sam Colangelo,24,RW,ANA,"$850,000",11.64,1.30,0.00,74,74,11.64,1.30,0.00,12.93,21,15,36,4,3,7,0,0,0,156,38,9,9,24,105,-3,-351,379,-18,251,8482118,,,
Nino Niederreiter,33,"LW,RW",WPG,"$4,000,000",13.24,1.35,0.00,82,82,13.24,1.35,0.00,14.59,19,17,36,3,3,6,0,0,0,145,41,23,19,34543,147,6,-213,280,120,7188,8475799,,,
Elmer Soderblom,24,LW,DET,"$1,125,000",13.03,0.53,0.00,74,74,13.03,0.53,0.00,13.55,17,19,36,1,2,3,0,0,0,113,38,18,7,26,117,1,-418,418,-73,240,8481725,,,
Cole Sillinger,22,"C,RW",CBJ,"$2,250,000",14.28,1.48,1.43,76,76,14.28,1.48,1.43,17.19,15,21,36,4,3,7,1,0,1,101,54,37,338,15347033,148,-11,-163,253,170,3069743,8482705,,,
Evan Rodrigues,32,"C,LW,RW",FLA,"$3,000,000",13.62,1.44,0.08,82,82,13.62,1.44,0.08,15.14,15,21,36,4,5,9,0,0,0,110,28,30,107,984214,162,8,-212,278,121,197141,8478542,,,
Noah Cates,26,C,PHI,"$4,000,000",13.39,1.07,1.53,78,78,13.39,1.07,1.53,15.98,15,21,36,2,3,5,1,0,1,84,55,10,384,16826799,107,3,-643,562,-131,3365685,8480220,,,
J.T. Compher,30,C,DET,"$5,100,000",13.79,1.55,1.75,77,77,13.79,1.55,1.75,17.08,14,22,36,4,4,8,1,0,1,33,63,23,412,19024721,96,-6,-615,545,-103,3805249,8477456,,,
Hendrix Lapierre,23,C,WSH,"$850,000",13.00,0.81,0.00,75,75,13.00,0.81,0.00,13.81,13,23,36,2,3,5,0,0,0,47,51,13,155,28751,91,-4,-734,621,-222,5985,8482148,,,
Yanni Gourde,34,C,TB,"$2,333,333",14.29,0.49,1.30,76,76,14.29,0.49,1.30,16.09,13,23,36,1,2,3,1,0,1,135,47,51,333,13973719,112,1,-329,362,183,2795044,8476826,,,
Jean-Gabriel Pageau,33,"C,RW",NYI,"$5,000,000",13.30,1.50,1.72,77,77,13.30,1.50,1.72,16.52,13,23,36,2,2,4,1,2,3,147,64,13,491,18711827,106,-2,-329,361,4,3742729,8476419,,,
Gustav Forsling,29,D,FLA,"$5,750,000",19.59,0.35,2.92,80,80,19.59,0.35,2.92,22.87,10,26,36,0,2,2,0,1,1,79,94,24,0,33054440,176,23,-117,236,130,6611188,8478055,,,
Jackson LaCombe,25,D,ANA,"$925,000",17.75,1.89,2.25,76,76,17.75,1.89,2.25,21.88,9,27,36,1,8,9,0,1,1,64,132,26,0,24126266,111,-12,-68,204,179,4825495,8481605,,,
Bobby McMann,29,LW,TOR,"$1,350,000",12.79,1.02,0.14,74,74,12.79,1.02,0.14,13.95,20,15,35,2,3,5,0,0,0,143,26,29,5,1451658,158,3,-226,294,118,290604,8482259,,,
Robby Fabbri,30,"C,LW",ANA,$1,13.65,1.27,0.65,77,77,13.65,1.27,0.65,15.56,17,18,35,2,4,6,0,1,1,104,49,29,89,7038508,102,-15,-333,365,12,1407934,8477952,,,
Evgenii Dadonov,36,RW,NJ,"$1,000,000",12.27,0.94,0.03,80,80,12.27,0.94,0.03,13.24,16,19,35,3,3,6,0,0,0,44,37,14,0,309816,110,0,-543,512,-211,62174,8474149,,,
Liam Ohgren,22,LW,MIN,"$886,666",12.50,1.26,0.00,76,76,12.50,1.26,0.00,13.76,15,20,35,3,5,8,0,0,0,103,37,26,0,0,125,-2,-325,358,19,234,8483499,,,
Jonathan Lekkerimaki,21,RW,VAN,"$918,333",11.08,2.05,0.00,72,72,11.08,2.05,0.00,13.13,15,20,35,4,7,11,0,0,0,49,23,10,0,3,104,-2,-552,515,-219,208,8483476,,,
Rutger McGroarty,21,RW,PIT,"$950,000",12.50,1.25,0.00,76,76,12.50,1.25,0.00,13.75,15,20,35,3,4,7,0,0,0,102,37,26,0,0,114,-2,-347,376,-15,223,8483487,,,
Jonathan Toews,37,C,WPG,"$2,000,000",13.68,1.70,1.05,72,72,13.68,1.70,1.05,16.43,15,20,35,6,3,9,0,0,0,13,34,40,623,10696733,92,-13,-617,547,-105,2139672,8473604,,,
Kaapo Kakko,24,RW,SEA,"$4,525,000",14.18,1.61,0.04,67,67,14.18,1.61,0.04,15.82,15,20,35,3,3,6,0,0,0,50,25,20,33,416440,106,-2,-536,506,-203,83496,8481554,,,
Andre Burakovsky,30,LW,CHI,"$5,500,000",12.72,1.66,0.00,76,76,12.72,1.66,0.00,14.38,12,23,35,3,8,11,0,0,0,30,25,15,3,22876,113,-7,-552,514,-207,4779,8477444,,,
Brandt Clarke,22,D,LA,"$863,334",17.50,1.72,0.04,72,72,17.50,1.72,0.04,19.26,8,27,35,2,8,10,0,0,0,27,120,42,0,407171,143,2,-2,162,245,81688,8482730,,,
Zayne Parekh,19,D,CGY,"$942,500",17.50,2.25,0.00,76,76,17.50,2.25,0.00,19.75,8,27,35,2,9,11,0,0,0,63,91,39,0,0,123,5,-59,196,188,237,8484768,,,
Darnell Nurse,30,D,EDM,"$9,250,000",19.49,1.04,1.92,75,75,19.49,1.04,1.92,22.45,8,27,35,1,4,5,1,0,1,144,135,54,0,20331679,174,13,318,61,566,4066646,8477498,,,
Owen Power,23,D,BUF,"$8,350,000",18.44,1.59,1.49,78,78,18.44,1.59,1.49,21.51,7,28,35,1,7,8,0,1,1,27,103,19,0,16384654,122,-8,-261,319,-14,3277162,8482671,,,
Brendan Gallagher,33,RW,MTL,"$6,500,000",12.10,1.45,0.01,81,81,12.10,1.45,0.01,13.56,19,15,34,3,4,7,0,0,0,78,36,44,3,170387,147,-5,-212,279,121,34316,8475848,,,
Lawson Crouse,28,"LW,RW",UTA,"$4,300,000",12.22,1.15,1.10,80,80,12.22,1.15,1.10,14.47,18,16,34,3,2,5,0,0,0,184,48,32,19,12477245,130,-1,-129,242,203,2495711,8478474,,,
Ilya Mikheyev,31,RW,CHI,"$4,750,000",13.29,0.34,1.65,80,80,13.29,0.34,1.65,15.28,17,17,34,1,1,2,1,0,1,34,22,11,2,18693434,130,5,-637,558,-304,3738906,8481624,,,
Kiefer Sherwood,30,RW,VAN,"$1,500,000",12.33,0.80,1.11,78,78,12.33,0.80,1.11,14.23,16,18,34,1,2,3,1,0,1,387,33,40,17,12222415,130,2,211,88,543,2444783,8480748,,,
